Station number: 600.1
Location:       Uwa Gaon                                                          Latitude: 27 35 21
River:          Arun River                                                       Longitude: 87 20 22



                           AVERAGE MONTHLY AND YEARLY DISCHARGE (in m3/s)
                           ==============================================

Year       Jan.   Feb.   Mar.   Apr.   May    Jun.   Jul.   Aug.   Sep.   Oct.   Nov.   Dec.   Year
1985       ...    ...    ...    ...     149   ...     874    760    742    337    151    106   ... 
1986       81.8   78.3   83.9    109    121    469    817    658    507    248    127   84.3    282
1987       70.5   73.3   84.9    109    137    470    838    928    598    269    130   86.7    316
1988       71.7   70.8   89.0    112    161    396    853   1140    603    212    113   86.1    326
1989       76.1   76.2   98.5    106    276    444    681    637    611    366    117   88.3    298
1990       76.2   74.5   88.4    118    193    528    732    671    505    222    112   77.5    283
1991       63.8   76.6   85.9   92.5    155    469    760    894    650    198    112   80.9    303
1992       66.1   64.1   98.0    125    123    282   ...     728    453    206    111   81.4   ... 
1993       72.7   76.7   76.9   95.3    144    267    649    778    409    177    100   73.3    243
1994       61.3   61.8   83.0   84.2    137    426    442    650    564    150   91.4   69.4    235
1995       56.7   63.4   89.3    102    283    603    760    746    584    256    116   77.8    311
1996       65.2   71.9   92.0   97.5    163    447    855    758    495    210    103   67.4    285
1997       54.4   56.1   79.7   79.8    120    325    580    525    528    185   ...    67.2   ... 
1998       51.1   54.7   66.5   87.3    177    443    760   1070    463    277    137    102    307
1999       86.8   91.6   89.3    103    173    315    683    878    824    420    128   92.8    324
2000       78.3   76.3   96.3    121    204    441    617    938    654    166    109   88.0    299
2001       70.8   75.7   78.5   91.6    174    381    458    653    354    216    111   83.1    229
2002       70.2   79.2   82.0   93.2    140    255    551    667    286    165    101   78.2    214
2003       67.5   66.8   79.3   96.0    105    255    577    455    421    180   94.9   65.0    205
2004       59.1   59.4   63.6   68.3    119    233    516    549    295    330    107   69.1    206
2005       62.2   63.2   73.8   77.3    110    180    421    559    239    207    112   67.2    181
2006       59.5   60.6   70.2   76.0    118    325    468    386    353    186    121   76.8    192
---------------------------------------------------------------------------------------------------
Average:   67.7   70.0   83.3   97.2    158    379    662    728    506    236    114   80.4    265
---------------------------------------------------------------------------------------------------

