Station number: 600.1
Location:       Uwa Gaon                                                          Latitude: 27 35 21
River:          Arun River                                                       Longitude: 87 20 22


                                         EXTREME DISCHARGES
                                         ==================

           MAXIMUM INSTANTANEOUS                                MINIMUM INSTANTANEOUS
Year  Discharge Gauge height  Date                         Discharge Gauge height  Date
        (m3/s)      (m)                                      (m3/s)      (m)
1985      1420      6.60    05/09/1985                           ...       ...             
1986      1270      6.30    29/06/1986                      69.3       1.87     18/02/1986
1987      1520      6.80    12/08/1987                      67.5       1.85     19/02/1987
1988      1370      6.50    15/08/1988                      52.9       1.67     27/01/1988
1989      1270      6.30    29/05/1989                      63.0       1.80     20/02/1989
1990      1170      6.10    13/08/1990                      61.0       1.60     07/02/1990
1991      1470      6.70    16/06/1991                      55.4       1.53     26/01/1991
1992      1270      6.30    25/08/1992                      59.4       1.58     27/02/1992
1993      1470      6.70    04/07/1993                      53.0       1.50     23/03/1993
1994       957      5.60    08/08/1994                      51.8       1.48     22/01/1994
1995      1450      6.50    28/08/1995                      51.3       1.48     03/01/1995
1996      1470      6.70    15/07/1996                      53.0       1.50     28/12/1996
1997      1320      6.40    22/09/1997                      47.0       1.40     27/01/1997
1998      1460      6.70    18/08/1998                      45.2       1.37     21/01/1998
1999      1840      7.37    27/08/1999                      77.0       1.20     30/12/1999
2000      1800      7.30    30/08/2000                      71.6       1.11     04/02/2000
2001      1130      6.00    23/08/2001                      57.5       0.85     27/01/2001
2002      1620      7.00    20/08/2002                      27.2       0.56     29/12/2002
2003      1350      6.50    08/07/2003                      30.0       0.30     26/12/2003
2004      1010      5.70    28/07/2004                       56.6       0.23     07/02/2004
2005      1620      7.00    07/08/2005                       59.4       0.37     12/01/2005
2006       949      5.54    30/06/2006                       58.0       0.30     19/01/2006                                      ...       ...

