Station number: 600.1
Location:       Uwa Gaon                                                          Latitude: 27 35 21
River:          Arun River                                                       Longitude: 87 20 22


                           MAXIMUM MONTHLY AND YEARLY DISCHARGE (in m3/s)
                           ==============================================

Year       Jan.   Feb.   Mar.   Apr.   May    Jun.   Jul.   Aug.   Sep.   Oct.   Nov.   Dec.   Year
1985       ...    ...    ...    ...     384   ...    1100   1390   1400    944    193    117   ... 
1986       96.1   92.7    101    160    138   1130   1160    985    878    491    155    103   1160
1987       74.7   81.5   98.0    134    184    827   1200   1400   1180    743    189    107   1400
1988       81.0   80.7    111    146    295    766   1050   1370    978    355    137    103   1370
1989       96.5   89.0    115    131   1140    802    957    791    791    788    132   96.0   1140
1990       86.7   94.7    105    144    464    778   1090   1040    677    377    132   99.3   1090
1991       79.7   92.7    112    112    424   1200    986   1130    944    351    131   92.0   1200
1992       73.4   67.5    121    214    208    794   ...    1150    673    272    141   96.0   ... 
1993       80.0   91.7   98.3    122    199    485   1250    971    767    274    114   86.0   1250
1994       71.3   75.5   98.0   98.3    263    686    778    911    839    241    107   79.7    911
1995       60.7   88.3    121    149    696   1260   1270   1300   1100    674    168   97.7   1300
1996       75.5   82.7    111    130    277   1330   1280   1100   1010    408    127   79.7   1330
1997       62.6   62.6    115    140    167    928    906    971   1300    259   ...    96.0   ... 
1998       57.0   68.4   93.7    152    289    932   1120   1420    808    485    165    116   1420
1999       92.1   99.5   95.5    123    556    601   1050   1810   1800    908    164    107   1810
2000       79.8   81.9    115    148    538    637    800   1560   1230    244    130   92.9   1560
2001       90.3   86.3   90.1    142    271    525    734   1130    504    620    132   97.7   1130
2002       72.9   89.8   87.2    112    377    496    886   1370    467    218    112   93.4   1370
2003       73.0   79.0   85.0    119    151    561   1360    629    725    310    115   80.8   1360
2004       63.5   65.0   71.5   91.0    194    366   1010    911    603    527    213   76.0   1010
2005       73.0   73.0   84.0   98.0    195    286    854   1130    338    236    170   80.2   1130
2006       63.0   62.7   79.0   80.8    216    748    580    556    579    255    150   87.2    748
---------------------------------------------------------------------------------------------------
Extreme:   96.5   99.5    121    214   1140   1330   1360   1810   1800    944    213    117   1810
---------------------------------------------------------------------------------------------------

