Station number: 600.1
Location:       Uwa Gaon                                                          Latitude: 27 35 21
River:          Arun River                                                       Longitude: 87 20 22




                           MINIMUM MONTHLY AND YEARLY DISCHARGE (in m3/s)
                           ==============================================

Year       Jan.   Feb.   Mar.   Apr.   May    Jun.   Jul.   Aug.   Sep.   Oct.   Nov.   Dec.   Year
1985       ...    ...    ...    ...    93.6   ...     579    544    443    197    114   93.9   ... 
1986       73.8   71.1   72.0   78.3    102    120    526    508    347    155   93.2   72.0   71.1
1987       67.5   69.9   78.0   92.1   97.2    242    502    754    430    170    102   72.9   67.5
1988       52.9   58.2   64.8   95.0    104    173    366    778    356    141   85.7   72.0   52.9
1989       67.5   63.9   88.0   94.3   99.8    236    459    494    443    134   93.0   71.6   63.9
1990       69.5   62.4   70.7   83.0    117    228    428    465    336    134   88.0   68.0   62.4
1991       55.4   61.4   70.4   77.6   95.0    163    630    631    330    133   92.7   66.4   55.4
1992       62.9   60.5   70.4   86.0   98.0    121   ...     456    237    136   86.7   71.3   ... 
1993       65.2   54.6   53.0   77.9    110    153    396    599    274    117   84.2   63.1   53.0
1994       53.0   57.0   68.7   73.4   85.9    210    329    480    383    108   77.0   61.9   53.0
1995       52.9   55.9   70.4   70.1    131    287    482    470    236    130   99.0   61.5   52.9
1996       57.8   66.1   76.7   82.4    130    145    476    440    276    133   74.6   55.9   55.9
1997       47.8   49.4   57.8   64.7   98.0    125    299    277    264    111   ...    55.4   ... 
1998       45.8   49.2   53.3   68.0    113    195    474    736    319    171    119   90.8   45.8
1999       81.4   86.1   84.9   86.8   97.1    154    435    521    451    167    107   77.0   77.0
2000       77.0   71.6   77.0   96.6    119    231    465    607    258    130   92.1   80.5   71.6
2001       58.2   66.2   71.2   76.4    102    166    261    410    226    134   96.4   71.2   58.2
2002       68.5   72.3   73.6   76.0   91.0    133    389    423    197    114   93.4   66.0   66.0
2003       65.5   63.0   72.7   80.8   76.8    128    341    326    318    116   82.4   58.0   58.0
2004       58.0   56.6   59.7   60.0   59.0    134    246    362    174    133   79.0   60.6   56.6
2005       59.4   60.0   65.5   70.2   74.6    118    256    324    185    170   81.0   61.8   59.4
2006       58.6   59.0   62.8   70.7   84.8    176    315    274    220    128   82.6   68.0   58.6
---------------------------------------------------------------------------------------------------
Extreme:   45.8   49.2   53.0   60.0   59.0    118    246    274    174    108   74.6   55.4   45.8
---------------------------------------------------------------------------------------------------

