Station number: 602.5
Location:       Pipletar                                                          Latitude: 27 17 45
River:          Hinwa Khola                                                      Longitude: 87 13 30



                           AVERAGE MONTHLY AND YEARLY DISCHARGE (in m3/s)
                           ==============================================

Year       Jan.   Feb.   Mar.   Apr.   May    Jun.   Jul.   Aug.   Sep.   Oct.   Nov.   Dec.   Year
1974       2.90   1.96   1.64   2.38   5.27   10.8   33.4   31.3   24.5   17.0   6.75   2.78   11.7
1975       1.83   1.36  0.830   1.03   1.71   11.6   18.9   15.1   18.3   10.8   4.30   2.60   7.37
1976       1.85   1.58   1.11   1.52   6.59   16.6   22.9   23.8   17.9   10.7   7.84   6.06   9.87
1977       ...    ...    ...    ...    ...    ...    ...    ...    ...    ...    ...    ...    ... 
1978       ...    ...    ...    ...    ...    ...    ...    ...    ...    ...    ...    ...    ... 
1979       ...    1.25  0.892   1.47   3.05   5.66   6.18   9.67   7.56   3.06   1.51   1.15   ... 
1980       ...    ...    ...    ...    ...    ...    ...    ...    ...    ...    ...    ...    ... 
1981       ...    ...    ...    ...    ...    ...    ...    ...    ...    ...    ...    ...    ... 
1982       ...    ...    ...    ...    ...    ...    ...    ...    ...    ...    ...    ...    ... 
1983       ...    ...    ...    ...    ...    ...    ...    ...    ...    ...    ...    ...    ... 
1984       ...    1.57   1.24   2.07   7.95   7.57   17.9   13.0   12.7   6.68   3.53   2.05   ... 
1985       1.48   1.29   1.11   1.06   3.07   6.06   19.9   19.5   13.1   8.76   5.52   3.33   7.02
1986       2.23   1.53   1.28   1.37   2.13   8.36   11.5   12.6   13.3   8.98   4.39   2.70   5.87
1987       1.66   1.27   1.27   1.46   1.60   5.05   8.63   13.1   16.5   11.5   5.01   2.82   5.82
1988       1.70   1.20   1.57  0.923   2.12   2.10   10.7   23.4   13.9   8.61   3.99   2.56   6.07
1989       2.10   1.52   2.01   1.15   2.51   ...    ...    ...    ...    ...    ...    ...    ... 
1990       ...    1.90   1.96   2.17   5.46   12.0   14.2   15.4   12.1   8.68   4.30   2.18   ... 
1991       2.17   1.35   1.29   1.48   3.33   6.65   12.4   20.5   12.6   5.13   2.82   1.67   5.95
1992       1.43   1.26  0.984   ...    ...    ...    ...    ...    ...    ...    ...    ...    ... 
1993       1.91   2.53   2.02   2.69   4.22   8.39   14.4   21.4   15.3   8.34   3.33   2.26   7.23
1994       1.50   1.22   1.08   1.16   2.30   13.2   21.4   20.3   16.5   6.75   4.11   3.43   7.74
1995       2.47   2.10   1.86   2.10   4.93   14.8   18.6   21.6   14.0   9.92   6.46   3.86   8.56
1996       2.94   2.17   2.18   1.69   8.07   12.2   19.3   19.7   15.4   12.0   6.32   3.95   8.82
1997       2.82   2.55   1.87   2.04   3.46   7.92   10.2   19.9   15.0   5.84   3.30   2.13   6.42
1998       1.26  0.749  0.557   4.72   11.1   15.7   14.4   12.0   10.4   6.96   3.72   2.87   7.03
1999       2.50   1.97   1.38   1.42   6.24   10.4   15.6   14.1   11.5   10.8   7.65   3.78   7.28
2000       2.17   1.67   1.36   2.56   9.62   10.0   13.2   11.2   8.56   6.25   3.95   2.53   6.09
2001       1.83   1.57   1.18   3.72   14.5   19.7   14.1   15.9   13.7   9.71   6.25   4.37   8.87
2002       3.23   2.14   1.56   3.87   7.89   11.1   15.5   16.0   9.82   5.45   4.02   2.86   6.95
2003       1.97   1.73   2.55   2.19   6.84   6.84   9.59   10.7   10.2   7.72   5.61   3.20   5.76
2004       2.16   1.35  0.847   1.40   3.48   13.7   11.6   10.9   12.2   9.84   5.22   2.85   6.30
2005       1.60  0.640  0.520  0.735   1.28   4.10   15.8   13.0   12.4   10.5   7.87   5.26   6.14
2006       2.63   1.88   2.20   7.37   3.22   11.9   15.5   13.4   14.6   9.77   7.87   5.40   7.98
---------------------------------------------------------------------------------------------------
Average:   2.10   1.60   1.42   2.14   5.08   10.1   15.4   16.7   13.7   8.79   5.02   3.15   7.31
---------------------------------------------------------------------------------------------------

