Station number: 602.5
Location:       Pipletar                                                          Latitude: 27 17 45
River:          Hinwa Khola                                                      Longitude: 87 13 30



                           MAXIMUM MONTHLY AND YEARLY DISCHARGE (in m3/s)
                           ==============================================

Year       Jan.   Feb.   Mar.   Apr.   May    Jun.   Jul.   Aug.   Sep.   Oct.   Nov.   Dec.   Year
1974       3.60   2.40   2.40   6.40   25.4   21.2   55.7   53.6   39.2   24.8   10.8   3.80   55.7
1975       3.00   1.63   1.05   2.60   2.90   56.6   41.0   25.6   42.4   21.0   5.20   3.12   56.6
1976       2.00   1.92   1.24   8.91   12.9   42.0   36.2   45.4   24.2   13.3   8.70   7.04   45.4
1977       ...    ...    ...    ...    ...    ...    ...    ...    ...    ...    ...    ...    ... 
1978       ...    ...    ...    ...    ...    ...    ...    ...    ...    ...    ...    ...    ... 
1979       ...    1.77   1.02   9.15   7.20   11.8   11.7   46.9   14.8   8.40   1.86   2.81   ... 
1980       ...    ...    ...    ...    ...    ...    ...    ...    ...    ...    ...    ...    ... 
1981       ...    ...    ...    ...    ...    ...    ...    ...    ...    ...    ...    ...    ... 
1982       ...    ...    ...    ...    ...    ...    ...    ...    ...    ...    ...    ...    ... 
1983       ...    ...    ...    ...    ...    ...    ...    ...    ...    ...    ...    ...    ... 
1984       ...    1.76   1.42   12.6   18.2   11.3   28.2   19.0   16.2   10.4   4.48   2.56   ... 
1985       1.69   1.83   2.46   3.09   10.2   9.97   37.4   40.8   18.4   12.8   8.70   6.20   40.8
1986       2.98   1.74   1.69   2.78   3.31   31.5   22.7   16.8   17.1   14.4   5.81   3.35   31.5
1987       2.28   1.49   1.63   3.58   3.47   14.1   14.0   30.8   29.8   16.9   7.00   3.72   30.8
1988       2.49   1.35   3.77   2.65   4.49   6.39   20.2   54.1   22.4   17.6   5.00   4.41   54.1
1989       2.75   1.70   14.7   1.55   7.26   ...    ...    ...    ...    ...    ...    ...    ... 
1990       ...    2.14   2.86   4.51   14.4   18.1   17.2   19.8   30.0   10.9   6.60   2.79   ... 
1991       4.31   1.55   1.60   2.47   7.05   21.6   17.5   32.0   18.3   12.0   3.72   1.85   32.0
1992       1.55   1.32   1.14   ...    ...    ...    ...    ...    ...    ...    ...    ...    ... 
1993       3.28   6.96   2.80   12.2   17.0   27.2   26.0   34.4   23.0   16.5   4.50   4.06   34.4
1994       1.96   1.50   2.00   2.08   7.29   26.3   41.0   42.6   29.8   11.7   4.56   4.05   42.6
1995       2.85   2.28   1.96   4.74   18.0   31.4   25.4   42.2   17.6   16.8   19.2   4.74   42.2
1996       3.80   2.60   3.00   2.04   21.1   32.6   41.2   28.4   24.0   16.9   8.96   5.27   41.2
1997       2.98   2.84   2.14   2.37   8.77   16.8   21.5   44.8   32.4   11.4   4.06   4.06   44.8
1998       1.68  0.967   1.01   42.8   19.8   25.6   34.6   23.4   14.1   12.9   4.36   3.56   42.8
1999       2.84   2.28   2.90   5.73   26.4   17.4   29.4   26.4   14.8   14.8   11.1   5.00   29.4
2000       2.56   2.00   1.48   20.2   14.8   25.4   25.8   23.8   15.6   16.2   4.41   3.40   25.8
2001       2.05   2.84   1.42   12.8   27.0   28.0   29.4   33.4   20.4   19.7   7.84   5.07   33.4
2002       3.72   2.60   3.51   9.79   31.8   22.6   41.8   30.2   30.8   7.28   4.52   3.40   41.8
2003       3.24   2.81   5.53   5.28   12.0   12.2   13.4   16.2   17.4   14.1   9.84   4.50   17.4
2004       2.56   1.68   1.03   3.47   8.53   48.7   23.2   15.3   23.5   19.2   7.75   3.62   48.7
2005       2.20  0.845  0.662   1.57   2.44   9.71   22.8   17.3   20.3   15.1   9.18   6.66   22.8
2006       3.76   2.61   5.75   12.2   7.43   18.5   25.2   25.2   20.9   13.8   9.02   6.82   25.2
---------------------------------------------------------------------------------------------------
Extreme:   4.31   6.96   14.7   42.8   31.8   56.6   55.7   54.1   42.4   24.8   19.2   7.04   56.6
---------------------------------------------------------------------------------------------------

