Station number: 602.5
Location:       Pipletar                                                          Latitude: 27 17 45
River:          Hinwa Khola                                                      Longitude: 87 13 30



                           MINIMUM MONTHLY AND YEARLY DISCHARGE (in m3/s)
                           ==============================================

Year       Jan.   Feb.   Mar.   Apr.   May    Jun.   Jul.   Aug.   Sep.   Oct.   Nov.   Dec.   Year
1974       2.40   1.68   1.47   1.68   1.15   4.40   18.8   21.8   17.6   10.8   3.80   1.89   1.15
1975       1.58   1.05  0.724  0.670  0.993   1.15   10.9   11.5   13.0   5.43   3.21   2.00  0.670
1976       1.66   1.26  0.961  0.835   2.70   8.38   17.2   16.4   12.5   8.70   7.04   5.20  0.835
1977       ...    ...    ...    ...    ...    ...    ...    ...    ...    ...    ...    ...    ... 
1978       ...    ...    ...    ...    ...    ...    ...    ...    ...    ...    ...    ...    ... 
1979       ...    1.02  0.751  0.646  0.646   2.70   4.56   3.55   2.81   1.68   1.35  0.853   ... 
1980       ...    ...    ...    ...    ...    ...    ...    ...    ...    ...    ...    ...    ... 
1981       ...    ...    ...    ...    ...    ...    ...    ...    ...    ...    ...    ...    ... 
1982       ...    ...    ...    ...    ...    ...    ...    ...    ...    ...    ...    ...    ... 
1983       ...    ...    ...    ...    ...    ...    ...    ...    ...    ...    ...    ...    ... 
1984       ...    1.42   1.05  0.900   1.76   5.66   12.3   9.90   10.5   4.48   2.56   1.74   ... 
1985       1.26   1.09  0.835  0.667  0.982   2.33   7.19   12.1   9.90   5.97   3.94   2.56  0.667
1986       1.74   1.32  0.961  0.835   1.43   1.74   7.82   9.58   11.1   5.97   3.40   2.28  0.835
1987       1.40   1.09   1.02  0.898  0.898   1.46   3.56   7.37   9.24   7.00   3.72   1.96  0.898
1988       1.42   1.03  0.904  0.672  0.968  0.826   3.08   13.6   10.3   5.07   3.12   2.14  0.672
1989       1.73   1.40   1.25  0.920  0.920   ...    ...    ...    ...    ...    ...    ...    ... 
1990       ...    1.65   1.65   1.42   3.00   7.00   13.0   13.4   9.61   6.80   2.84   1.85   ... 
1991       1.55   1.25   1.03  0.975   1.55   3.07   9.52   12.7   7.00   3.72   1.85   1.55  0.975
1992       1.32   1.14  0.847   ...    ...    ...    ...    ...    ...    ...    ...    ...    ... 
1993      0.845   1.89   1.78   1.36   2.32   3.84   7.64   14.0   10.2   3.40   1.78   1.68  0.845
1994       1.36  0.845  0.845  0.845  0.825   2.24   9.15   10.6   9.30   4.62   3.15   2.85  0.825
1995       2.07   1.96   1.76   1.35   2.28   9.60   14.0   12.4   11.4   6.00   4.38   3.30   1.35
1996       2.63   1.86   1.50   1.42   2.70   6.40   11.0   12.4   11.8   8.96   5.40   3.03   1.42
1997       2.56   2.14   1.70   1.82   1.72   4.25   4.25   6.93   7.98   4.06   2.56   1.68   1.68
1998      0.967  0.488  0.426  0.540   6.40   9.24   8.87   8.59   8.03   4.52   3.26   2.28  0.426
1999       2.14   1.70   1.08  0.957   1.23   6.80   10.8   9.43   8.40   8.12   5.00   2.56  0.957
2000       1.85   1.40   1.14  0.920   6.53   7.84   8.96   8.40   5.40   4.41   3.40   2.14  0.920
2001       1.62   1.25  0.993  0.920   6.40   9.36   6.20   5.47   9.43   5.27   5.20   3.72  0.920
2002       2.76   1.70   1.22   1.22   3.24   4.79   6.47   8.59   6.20   4.52   3.45   2.28   1.22
2003       1.61   1.42   1.22   1.22   4.04   3.93   6.67   7.00   7.47   5.23   4.21   2.64   1.22
2004       1.71   1.03  0.662  0.540   1.92   2.44   7.07   8.66   7.64   6.96   3.62   2.20  0.540
2005      0.886  0.509  0.478  0.509  0.519  0.987   5.01   10.7   9.74   9.18   6.58   3.94  0.478
2006       1.97   1.74   1.58   3.21   2.28   6.78   11.0   9.82   11.8   4.92   6.58   3.88   1.58
---------------------------------------------------------------------------------------------------
Extreme:  0.845  0.488  0.426  0.509  0.519  0.826   3.08   3.55   2.81   1.68   1.35  0.853  0.426
---------------------------------------------------------------------------------------------------

