Station number: 604.5
Location:       Turkeghat                                                         Latitude: 27 20 00
River:          Arun River                                                       Longitude: 87 11 30



                                         EXTREME DISCHARGES
                                         ==================

           MAXIMUM INSTANTANEOUS                                MINIMUM INSTANTANEOUS
Year  Discharge Gauge height  Date                         Discharge Gauge height  Date
        (m3/s)      (m)                                      (m3/s)      (m)
1975      2170      5.00    14/09/1975                       ...        ...      
1976      2580      5.40    11/06/1976                        102       0.28     28/02/1976
1977      2740      5.52    26/08/1977                        105       0.30     12/02/1977
1978      2260      5.10    28/07/1978                        131       0.48     06/02/1978
1979      3710      6.20    23/07/1979                        108       0.32     25/02/1979
1980      3220      5.88    18/08/1980                        124       0.48     19/02/1980
1981      3400      6.00    12/08/1981                        104       2.04     27/01/1981
1982      3890      6.31    19/07/1982                       98.5       1.21     31/12/1982
1983      4280      6.55    15/07/1983                       85.3       1.11     15/02/1983
1984      2410      5.26    27/07/1984                       78.6       1.24     26/02/1984
1985      2480      5.32    25/08/1985                       78.6       1.24     28/01/1985
1986      1700      4.66    31/07/1986                       84.2       1.28     21/02/1986
1987      3550      6.10    02/09/1987                       91.8       1.16     11/02/1987
1988      2340      5.20    23/08/1988                       90.5       1.15     26/01/1988
1989      2020      4.90    01/07/1989                       86.6       1.12     13/01/1989
1990      3280      5.92    30/07/1990                       93.9       1.03     10/02/1990
1991      2390      5.24    05/07/1991                       78.5       1.05     20/11/1991
1992      2100      4.98    25/08/1992                       81.8       1.08     13/02/1992
1993      5720      7.30    04/07/1993                       90.0       1.00     23/03/1993
1994      1400      4.24    29/07/1994                       81.8       1.08     27/02/1994
1995      2420      5.76    30/08/1995                       66.5       0.79     22/01/1995
1996      3700      6.20    04/09/1996                       73.0       1.20     23/01/1996
1997      2970      5.70    13/08/1997                       82.8       1.27     05/02/1997
1998      4700      6.80    17/08/1998                       71.7       1.19     03/02/1998
1999      3030      5.74    26/08/1999                       71.2       1.41     27/03/1999
2000      5700      7.30    01/08/2000                       86.2       1.53     26/02/2000
2001      2970      5.70    03/08/2001                       74.8       1.44     14/03/2001
2002      3110      5.80    21/08/2002                       87.0       1.30     15/01/2002
2003      2840      5.60    19/08/2003                       87.0       1.30     19/01/2003
2004      2200      5.08    20/07/2004                       96.0       1.60     06/02/2004
2005      2530      5.36    07/08/2005                       87.6       1.54     12/02/2005
2006      2000      4.92    16/07/2006                       90.4       1.56     02/01/2006

