Station number: 650
Location:       Rasnalu Village                                                   Latitude: 27 34 30
River:          Khimti Khola                                                     Longitude: 86 11 50



                           MAXIMUM MONTHLY AND YEARLY DISCHARGE (in m3/s)
                           ==============================================

Year       Jan.   Feb.   Mar.   Apr.   May    Jun.   Jul.   Aug.   Sep.   Oct.   Nov.   Dec.   Year
1964       6.26   ...    ...    6.03   6.49   47.7    104    110   69.1   34.7   12.5   6.96   ... 
1965       4.83   3.92   3.46   4.29   6.49   70.2    111    134   55.8   28.8   12.8   6.49    134
1966       5.01   4.47   3.32   2.91   6.96   65.9    162    117   68.1   20.7   9.34   5.79    162
1967       ...    ...    ...    ...    ...    ...    ...    ...    ...    ...    ...    ...    ... 
1968       4.83   4.10   6.03   5.38   7.66   42.8    189    214   46.9    137   13.9   8.18    214
1969       6.26   5.01   5.01   5.38   30.7   68.1    143   78.4   58.7   28.3   11.5   7.66    143
1970       5.38   4.83   5.20   6.72   65.9    212   84.5    119   52.0   35.4   14.3   11.8    212
1971       8.04   6.79   8.30   10.2   19.4    160    107    117   99.1   25.4   17.0   9.91    160
1972       8.04   6.79   7.26   6.38   21.3   45.2    119    119    122   18.6   11.8   9.07    122
1973       7.00   5.97   6.38   5.76   20.6    130    217    139    102   42.0   12.5   10.9    217
1974       7.78   6.59   7.26   12.2   21.3   60.7    128    183   85.7   32.0   15.8   8.81    183
1975       8.04   6.59   5.34   7.26   17.0   67.0    174    162    367   51.2   19.4   10.6    367
1976       6.59   6.38   4.77   10.2   13.6    117    152    154   85.7   35.4   17.4   9.33    154
1977       5.97   4.93   8.30   19.8   11.8   84.5    185    150   60.7   20.6   17.0   9.59    185
1978       7.00   5.14   7.52   9.33    127    141    269    241   61.6   44.3   14.3   10.6    269
1979       6.17   5.14   4.29   4.61   23.5   65.9    107    160    137   33.4   15.1   9.59    160
1980       5.55   4.45   4.45   4.13   18.6    158    326    252   96.4   25.4   12.8   8.30    326
1981       6.17   4.93   4.77   35.4   18.6    102    298    304   57.7   27.1   12.5   8.04    304
1982       6.17   7.26   4.93   12.8   21.0    349    590   1270    117   28.8   15.5   8.55   1270
1983       6.59   5.14   4.61   8.30   11.5   39.7    854    835    101   46.0   17.0   9.07    854
1984       6.38   5.14   4.45   5.34   89.7    231    314    198    217   28.3   11.2   8.81    314
1985       6.59   5.14   4.93   9.59   33.4    191    507    336    263   43.5   11.8   8.04    507
1986       5.84   4.41   3.94   8.84   7.31    592    419    148    109   71.7   16.3   8.59    592
1987       5.84   4.25   5.43   4.56   6.44    148    683    141   ...    ...    ...    ...    ... 
1988       ...    ...    ...    15.5   60.7    231    320    388   ...    ...    ...    ...    ... 
1989       7.26   6.38   5.97   3.81   15.5   93.7    231    269   63.7   41.3   13.2   11.5    269
1990       9.07   9.07   8.81   10.9   15.1    110    198    135   68.1   45.2   27.7   13.9    198
1991       9.07   8.04   6.79   7.26   24.2    144    440    398    162   84.5   42.0   11.5    440
1992       8.99   7.64   6.66   7.52   17.8   52.9    382    867    589   27.1   11.2   13.9    867
1993       16.3   7.43   6.31   14.1   62.9   1080    439   1260    704   42.0   31.6   22.3   1260
1994       8.81   6.17   7.03   5.97   13.9   1110    718    109   88.8   28.3   16.0   16.2   1110
1995       8.81   6.38   6.38   7.52   44.3   91.1    122    146    102   42.0   61.0   12.0    146
1996       7.75   5.35   10.3   4.11   6.49   44.5   93.6   65.5   71.3   27.0   10.3   5.47   93.6
1997       4.87   3.39   3.60   12.5   13.8   31.9   90.3   85.6   79.9   41.4   13.5   7.03   90.3
1998       4.93   3.82   6.08   18.1   13.9   63.4   83.4    164    104   37.9   15.3   7.57    164
1999       5.95   4.87   3.92   3.24   21.3   43.3   74.4   65.5   68.2   39.8   23.3   9.29   74.4
2000       8.30   5.47   5.47   7.39   18.1   41.5   84.9   73.0    160   20.4   8.76   7.87    160
2001       5.95   3.26   2.22   4.47   23.7   95.3    145    248   66.7   33.2   9.90   6.31    248
2002       4.65   6.79   3.39   5.59   19.2   27.3   90.8   90.8   38.8   19.8   8.96   6.13   90.8
2003       4.65   6.79   4.22   9.62   5.29   57.6    194    132   47.2   29.6   7.33   6.82    194
2004       4.87   3.63   3.01   3.97   10.2   28.5   69.2    103   87.1   65.1   17.5   14.1    103
2005       8.11   6.43   5.75   5.29   5.75   29.7   77.6   96.0    108   29.9   15.5   9.63    108
2006       8.78   5.06   6.43   10.2   30.0   50.6   81.3   69.4   85.6   30.0   14.5   8.97   85.6
---------------------------------------------------------------------------------------------------
Extreme:   16.3   9.07   10.3   35.4    127   1110    854   1270    704    137   61.0   22.3   1270
---------------------------------------------------------------------------------------------------

