Station number: 650
Location:       Rasnalu Village                                                   Latitude: 27 34 30
River:          Khimti Khola                                                     Longitude: 86 11 50



                           MINIMUM MONTHLY AND YEARLY DISCHARGE (in m3/s)
                           ==============================================

Year       Jan.   Feb.   Mar.   Apr.   May    Jun.   Jul.   Aug.   Sep.   Oct.   Nov.   Dec.   Year
1964       ...    ...    ...    ...    3.92   3.92   22.2   39.7   25.9   12.5   6.96   4.83   ... 
1965       3.74   3.18   2.77   3.05   3.32   3.74   42.8   46.0   21.2   11.1   5.56   4.65   2.77
1966       4.10   3.18   2.63   2.15   2.15   4.29   46.0   59.7   17.7   8.47   5.79   3.32   2.15
1967       ...    ...    ...    ...    ...    ...    ...    ...    ...    ...    ...    ...    ... 
1968       4.10   3.46   3.46   3.46   3.92   4.83   29.4   38.2   19.7   13.2   7.89   5.79   3.46
1969       4.83   4.10   3.74   3.46   3.74   5.01   16.7   36.0   30.0   11.8   7.66   5.38   3.46
1970       4.83   4.10   3.74   3.60   3.18   4.47   41.3   46.0   28.8   14.7   9.91   7.78   3.18
1971       6.59   5.97   5.55   5.97   8.04   10.2   34.7   42.8   23.1   17.0   10.2   8.04   5.55
1972       6.79   5.97   5.55   5.34   5.55   6.59   22.4   40.5   19.4   12.5   8.55   7.00   5.34
1973       5.97   5.55   5.14   4.77   5.14   8.55   36.0   46.0   36.7   13.9   8.81   7.52   4.77
1974       6.59   5.55   5.14   5.97   6.38   8.30   31.3   42.8   30.0   15.5   9.07   6.59   5.14
1975       5.76   5.14   4.29   4.13   4.45   5.97   27.1   36.7   43.5   20.6   10.6   6.59   4.13
1976       5.76   4.61   3.97   3.21   3.81   14.7   45.2   45.2   36.7   15.1   7.78   5.76   3.21
1977       4.77   4.13   3.65   4.29   5.76   6.17   40.5   39.7   21.0   15.1   10.2   6.79   3.65
1978       5.34   4.77   4.45   4.61   8.81   12.2   53.9   39.7   38.2   13.2   10.6   6.17   4.45
1979       4.93   4.45   3.65   3.33   3.97   3.65   23.8   35.4   28.3   13.9   7.00   5.76   3.33
1980       4.29   4.13   3.65   3.49   3.81   5.76   29.4   77.2   26.5   13.6   8.04   5.76   3.49
1981       4.77   3.97   3.81   3.65   5.76   6.38   56.8   62.6   21.7   12.8   7.78   5.97   3.65
1982       5.14   4.61   4.13   3.97   4.45   9.33   52.0   46.0   30.7   14.3   8.55   6.38   3.97
1983       5.14   4.61   3.97   3.81   5.34   8.30   49.5   87.0   36.7   18.6   9.33   6.59   3.81
1984       5.14   4.45   3.81   3.97   4.77   22.8   63.7   36.7   30.0   11.2   8.55   6.59   3.81
1985       5.34   4.61   4.29   3.81   4.29   6.38   88.4   82.0   36.7   11.8   8.04   5.55   3.81
1986       3.94   3.78   3.47   3.47   4.56   4.56   28.2   58.1   42.0   19.0   7.82   5.84   3.47
1987       4.09   3.47   3.47   3.47   4.09   5.03   74.3   67.1   ...    ...    ...    ...    ... 
1988       ...    ...    ...    ...    5.14   6.38   74.7   68.1   ...    ...    ...    ...    ... 
1989       5.34   5.34   3.81   3.10   2.63   9.07   71.3   53.9   40.5   14.7   9.59   8.55   2.63
1990       8.04   7.78   7.26   7.52   10.2   16.6   78.4   52.9   44.3   28.3   13.2   9.07   7.26
1991       7.78   5.76   4.61   6.38   7.00   16.6   25.9   36.7   78.4   42.8   10.6   9.07   4.61
1992       7.52   6.59   5.97   5.14   8.12   10.6   34.2   55.5   32.0   10.7   9.33   9.16   5.14
1993       7.26   5.76   5.55   5.34   9.33   9.33   72.5   56.5   38.7   32.0   20.5   9.07   5.34
1994       5.97   5.14   4.72   4.66   5.00   9.07   25.6   40.5   27.7   16.5   10.6   8.55   4.66
1995       6.17   4.93   4.77   4.29   4.77   8.30   52.9   62.6   36.0   12.4   7.76   5.52   4.29
1996       4.87   4.40   4.30   3.34   4.01   4.69   20.5   44.7   27.4   9.70   5.59   4.40   3.34
1997       3.24   2.68   2.75   3.24   3.97   4.45   17.5   28.3   26.5   11.6   7.03   4.69   2.68
1998       3.82   3.24   3.16   4.16   4.99   5.41   48.1   59.0   41.4   15.8   7.81   5.65   3.16
1999       4.69   3.82   3.01   2.45   3.01   7.39   26.7   33.4   34.7   21.5   10.2   6.13   2.45
2000       4.40   3.97   4.55   4.01   4.11   7.27   25.1   19.7   24.3   8.76   7.81   7.27   3.97
2001       2.83   2.22   1.66   1.49   3.77   18.3   29.6   59.9   27.0   10.7   6.31   4.75   1.49
2002       3.05   2.11   2.56   3.13   4.87   7.27   36.6   36.8   17.5   9.09   6.31   4.01   2.11
2003       3.05   2.11   2.90   3.34   2.79   2.90   25.7   28.0   30.4   7.57   4.69   3.01   2.11
2004       3.09   2.71   2.41   2.34   3.43   6.97   22.0   48.4   39.8   16.6   6.66   2.83   2.34
2005       5.37   4.09   3.85   3.66   4.09   4.57   11.4   51.8   20.3   13.5   7.35   5.37   3.66
2006       4.15   3.60   3.10   3.66   4.27   10.5   35.5   39.6   29.1   13.5   8.59   5.82   3.10
---------------------------------------------------------------------------------------------------
Extreme:   2.83   2.11   1.66   1.49   2.15   2.90   11.4   19.7   17.5   7.57   4.69   2.83   1.49
---------------------------------------------------------------------------------------------------

